x,u8,u16,u32,u64
0,0,0,0,0
0.0156,0.0023,0.0023,0.0023,0.0023
0.0312,0.0046,0.0046,0.0047,0.0047
0.0469,0.0069,0.007,0.007,0.007
0.0625,0.0092,0.0093,0.0093,0.0093
0.0781,0.0115,0.0116,0.0116,0.0116
0.0938,0.0138,0.0138,0.0139,0.0139
0.1094,0.0161,0.0161,0.0161,0.0161
0.125,0.0184,0.0184,0.0184,0.0184
0.1406,0.0205,0.0205,0.0206,0.0206
0.1562,0.0226,0.0227,0.0228,0.0228
0.1719,0.0246,0.0249,0.0249,0.0249
0.1875,0.0267,0.027,0.027,0.027
0.2031,0.0288,0.029,0.0291,0.0291
0.2188,0.0309,0.031,0.0311,0.0311
0.2344,0.033,0.033,0.0331,0.0331
0.25,0.0351,0.0351,0.0351,0.035
0.2656,0.0368,0.0369,0.0369,0.0369
0.2812,0.0384,0.0387,0.0388,0.0388
0.2969,0.0401,0.0405,0.0405,0.0405
0.3125,0.0418,0.0423,0.0422,0.0422
0.3281,0.0434,0.0438,0.0438,0.0439
0.3438,0.0451,0.0453,0.0455,0.0455
0.3594,0.0468,0.0469,0.0469,0.047
0.375,0.0484,0.0484,0.0484,0.0484
0.3906,0.0495,0.0496,0.0497,0.0497
0.4062,0.0505,0.0508,0.051,0.051
0.4219,0.0515,0.052,0.0521,0.0522
0.4375,0.0525,0.0532,0.0532,0.0532
0.4531,0.0536,0.0541,0.0542,0.0542
0.4688,0.0546,0.0549,0.0551,0.0551
0.4844,0.0556,0.0558,0.0559,0.0559
0.5,0.0567,0.0566,0.0566,0.0566
0.5156,0.0568,0.057,0.0571,0.0572
0.5312,0.057,0.0574,0.0576,0.0576
0.5469,0.0571,0.0578,0.0579,0.058
0.5625,0.0573,0.0582,0.0582,0.0582
0.5781,0.0575,0.0581,0.0583,0.0583
0.5938,0.0576,0.0581,0.0583,0.0583
0.6094,0.0578,0.058,0.0581,0.0582
0.625,0.0579,0.0579,0.0579,0.0579
0.6406,0.057,0.0572,0.0574,0.0574
0.6562,0.056,0.0566,0.0569,0.0569
0.6719,0.0551,0.056,0.0561,0.0562
0.6875,0.0541,0.0553,0.0553,0.0553
0.7031,0.0532,0.0541,0.0542,0.0543
0.7188,0.0522,0.0528,0.0531,0.0531
0.7344,0.0513,0.0515,0.0517,0.0518
0.75,0.0503,0.0503,0.0503,0.0503
0.7656,0.048,0.0483,0.0485,0.0486
0.7812,0.0457,0.0464,0.0468,0.0468
0.7969,0.0434,0.0445,0.0446,0.0447
0.8125,0.0411,0.0425,0.0425,0.0425
0.8281,0.0387,0.0398,0.04,0.0401
0.8438,0.0364,0.0371,0.0375,0.0375
0.8594,0.0341,0.0344,0.0346,0.0347
0.875,0.0318,0.0317,0.0317,0.0317
0.8906,0.0278,0.0282,0.0284,0.0285
0.9062,0.0238,0.0247,0.0251,0.0251
0.9219,0.0199,0.0212,0.0214,0.0215
0.9375,0.0159,0.0177,0.0177,0.0177
0.9531,0.0119,0.0133,0.0135,0.0136
0.9688,0.0079,0.0088,0.0093,0.0093
0.9844,0.004,0.0044,0.0047,0.0048
1,0,0,0,0
